entry_time_utc,exit_time_utc,dir,score,entry,stop,risk_pct,leverage,r,account_pct,outcome,mfe_r,mae_r,notes
2025-08-27T14:30:00,2025-08-27T20:30:00,short,9,111863.6,112623.63,0.6794,20,0.2823,0.0988,breakeven_or_trailing_stop,1.328,0.903,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-08-28T13:30:00,2025-08-29T05:45:00,short,7.5,112871.3,113461.35,0.5228,30,1.697,0.5939,tp3,3.021,0.676,4H趋势向下; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-08-30T07:00:00,2025-08-30T08:15:00,short,7.5,108225.1,108641.33,0.3846,40,-1.208,-0.4228,stop,0.166,1.244,4H趋势向下; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 跌回VWAP/POC; 关键目标RR>=2
2025-08-31T07:15:00,2025-09-01T07:15:00,short,7.5,108645,109392.06,0.6876,20,0.4887,0.171,time_after_tp1,1.919,0.738,4H趋势向下; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 跌回VWAP/POC; 关键目标RR>=2
2025-09-01T10:00:00,2025-09-01T13:00:00,short,7.5,109173,109923.47,0.6874,20,0.2836,0.0993,breakeven_or_trailing_stop,1.388,0.107,4H趋势向下; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-09-02T08:00:00,2025-09-02T08:45:00,short,7.5,109999.9,110629.52,0.5724,30,-1.1398,-0.3989,stop,0.01,1.112,4H趋势向下; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-09-03T07:45:00,2025-09-03T12:45:00,long,7.5,111041.5,110459.45,0.5242,30,0.2474,0.0866,breakeven_or_trailing_stop,1.357,0.341,价格在EMA200上方; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-09-06T09:00:00,2025-09-07T03:15:00,short,7.5,110678.6,111044.63,0.3307,50,0.8581,0.3003,breakeven_or_trailing_stop,2.264,0.759,价格在EMA200下方; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-09-07T07:45:00,2025-09-07T08:15:00,short,8,110710.8,110896.32,0.1676,50,-1.4774,-0.5171,stop,0.239,3.053,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; CVD确认或背离; 关键目标RR>=2
2025-09-11T10:00:00,2025-09-11T12:30:00,long,8.5,113919.3,113697.66,0.1946,50,0.6888,0.2411,breakeven_or_trailing_stop,2.62,2.113,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-09-12T14:45:00,2025-09-13T14:45:00,long,7.5,115213.6,114640.77,0.4972,30,1.1732,0.4106,time_after_tp2,2.43,0.582,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-09-13T15:30:00,2025-09-13T16:15:00,long,7.5,115699.9,115524.66,0.1515,50,-1.5282,-0.5349,stop,0.459,1.711,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; 量能与实体合格; 关键目标RR>=2
2025-09-14T08:15:00,2025-09-14T13:15:00,long,8.5,115826,115394.97,0.3721,40,-1.215,-0.4252,stop,0.679,1.087,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-09-15T11:30:00,2025-09-15T13:30:00,long,7.5,115027.3,114544.23,0.42,40,-1.1905,-0.4167,stop,0.104,1.426,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-09-16T11:00:00,2025-09-16T16:45:00,short,7.5,115203.1,115990.95,0.6839,20,-1.117,-0.3909,stop,0.765,1.075,价格在EMA200下方; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-09-17T13:15:00,2025-09-17T13:30:00,long,7.5,116200,116006.52,0.1665,50,-1.4805,-0.5182,stop,0.286,1.543,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; 量能与实体合格; 关键目标RR>=2
2025-09-18T07:30:00,2025-09-19T07:30:00,long,7.5,117150,116408.63,0.6328,20,-0.4415,-0.1545,timeout,0.978,0.891,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 回收VWAP/POC; 关键目标RR>=2
2025-09-19T08:00:00,2025-09-19T09:45:00,long,8.5,116941.1,116547.48,0.3366,50,-1.2377,-0.4332,stop,0.278,1.311,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
